	yuanlai	yuce	shaixuan
骨碎补、熟地黄。骨碎补。苦。熟地黄。甘。骨碎补。温。熟地黄。温。骨碎补。肾,肝。补肾,活血,止痛熟地黄肝,肾补血,填髓,益精。	0	0	0
石斛、鹿角胶。石斛。甘。鹿角胶。咸,甘。石斛。微寒。鹿角胶。温。石斛。肾,胃,肺。滋阴,润肺,明目,强腰,生津,清热鹿角胶肝,肾止血,益精,益精血,安胎。	0	0	0
羚羊角、白薇。羚羊角。咸。白薇。苦,咸。羚羊角。寒。白薇。寒。羚羊角。心,肝。明目,清肝,解毒,凉血,平肝白薇胃,肺解毒,利尿,疗疮,通淋,清热。	0	0	0
冬葵子、党参。冬葵子。甘。党参。甘。冬葵子。寒。党参。平。冬葵子。肝,大肠,小肠,膀胱,胃,肺。滑肠,通便,下乳,利水,通淋党参脾,肺健脾,生津。	0	0	0
淫羊藿、川楝子。淫羊藿。甘,辛。川楝子。苦。淫羊藿。温。川楝子。0。淫羊藿。肾,肝。补肾,祛风,强筋,除湿川楝子膀胱止痛,杀虫,行气,疏肝。	1	0	1
槐花、王不留行。槐花。苦。王不留行。苦。槐花。微寒。王不留行。平。槐花。心,肝,大肠,肺。止血,清肝,凉血,明目王不留行胃,肝通经,消痈,活血。	0	0	0
淡豆豉、龙胆草。淡豆豉。辛,苦。龙胆草。苦。淡豆豉。平。龙胆草。寒。淡豆豉。心,膀胱,三焦,胃,小肠,肺。解肌,除烦龙胆草肝,胆定惊,清热。	0	0	0
甘草梢、白薇。甘草梢。甘。白薇。苦,咸。甘草梢。寒。白薇。寒。甘草梢。心,肝,脾。解毒,通淋,利尿,泻火白薇胃,肺解毒,利尿,疗疮,通淋,清热。	0	0	0
补骨脂、龙胆草。补骨脂。辛,苦。龙胆草。苦。补骨脂。温。龙胆草。寒。补骨脂。脾,心包,肾,胃,肺。助阳,温脾,止泻,补肾,平喘,纳气龙胆草肝,胆定惊,清热。	0	0	0
荷梗、丝瓜络。荷梗。苦。丝瓜络。苦。荷梗。平。丝瓜络。凉。荷梗。脾,膀胱。解暑,清热,理气丝瓜络肝,胃,肺消肿,解毒,通经。	0	0	0
浙贝母、神曲。浙贝母。苦。神曲。甘,辛。浙贝母。寒。神曲。温。浙贝母。心,肺。清热,化痰,止咳,散结,降气,消肿神曲胃,脾和胃,消食,健脾。	0	0	0
白鲜皮、分心木。白鲜皮。咸,苦。分心木。苦,涩。白鲜皮。寒。分心木。平。白鲜皮。脾,小肠,膀胱,胃,肺。祛风,清热,止痒,解毒分心木肾,脾止带,止泻,缩尿,止血。	0	0	0
续断、槟榔。续断。辛,苦。槟榔。辛,苦。续断。微温。槟榔。温。续断。肾,肝。补肝,止崩,强筋槟榔大肠,胃消积,截疟。	0	0	0
荷梗、太子参。荷梗。苦。太子参。微苦,甘。荷梗。平。太子参。微寒。荷梗。脾,膀胱。解暑,清热,理气太子参肺生津。	0	0	0
大蒜、石菖蒲。大蒜。辛。石菖蒲。辛,苦。大蒜。温。石菖蒲。微温。大蒜。大肠,肺,胃,脾。温中,杀虫,解毒,行滞石菖蒲心,脾,肝开窍,化痰,行气,消肿,止痛,祛风。	0	0	0
胡桃仁、皂荚子。胡桃仁。甘,涩。皂荚子。辛。胡桃仁。温。皂荚子。温。胡桃仁。肝,肺,肾。温肺,润肠,通便,补肾,固精皂荚子大肠,肺祛风,散热,散结,润肠,通便,化痰。	0	0	0
大青叶、伏龙肝。大青叶。苦。伏龙肝。辛。大青叶。寒。伏龙肝。温。大青叶。心,肝,胃,脾。清热,凉血,解毒伏龙肝肝,胃,脾温中,止呕,止泻,止血。	0	0	0
木蝴蝶、石菖蒲。木蝴蝶。微苦,甘。石菖蒲。辛,苦。木蝴蝶。微寒。石菖蒲。微温。木蝴蝶。肝,胃,肺。生肌,利咽,润肺,疏肝,和胃,敛疮石菖蒲心,脾,肝开窍,化痰,行气,消肿,止痛,祛风。	0	0	0
侧柏叶、川贝母。侧柏叶。涩,苦。川贝母。甘。侧柏叶。微寒。川贝母。微寒。侧柏叶。肝,大肠,肺。止咳,祛风,祛痰,凉血,止血川贝母心,肺清热,化痰,散结,消肿,止咳,润肺。	0	0	0
乌药、益智仁。乌药：辛、温。益智仁：辛、温。 。乌药：归脾、肺、肾、膀胱经。益智仁：归脾、肾经。 乌药：顺气，开郁，散寒，止痛。益智仁：温脾，暖肾，固气，涩精。 。	0	1	-1
马鞭草、鹿角胶。马鞭草。辛,苦。鹿角胶。咸,甘。马鞭草。微寒。鹿角胶。温。马鞭草。肝,脾。解毒,消肿,活血,利水,清热,截疟,通经鹿角胶肝,肾止血,益精,益精血,安胎。	0	0	0
粳米、天花粉。粳米。甘。天花粉。微苦,甘。粳米。平。天花粉。微寒。粳米。胃,肺,脾。补气,健脾,除烦,止泻天花粉肺,胃清热,化痰,生津,润肺,消肿。	0	0	0
土贝母、皂荚子。土贝母。苦。皂荚子。辛。土贝母。凉。皂荚子。温。土贝母。脾,肺。清热,散结,化痰皂荚子大肠,肺祛风,散热,散结,润肠,通便,化痰。	0	0	0
禹余粮、女贞子。禹余粮。咸。女贞子。苦,甘。禹余粮。平,寒。女贞子。凉。禹余粮。大肠,胃,脾。涩肠,止带,止血女贞子肝,肾明目,清虚热。	0	0	0
分心木、麻黄根。分心木。苦,涩。麻黄根。微苦,甘。分心木。平。麻黄根。平。分心木。肾,脾。止带,止泻,缩尿,止血麻黄根肺止汗。	0	0	0
荷梗、川牛膝。荷梗。苦。川牛膝。甘,微苦。荷梗。平。川牛膝。平。荷梗。脾,膀胱。解暑,清热,理气川牛膝肝,肾活血,祛风。	0	0	0
茵陈蒿、白及。茵陈蒿。微苦,微辛。白及。苦,甘,涩。茵陈蒿。微寒。白及。寒。茵陈蒿。胃,膀胱,脾。退黄,清热白及胃,肺消肿,止血,生肌,收敛。	1	0	1
秦皮、桑寄生。秦皮。苦,涩。桑寄生。甘,苦。秦皮。寒。桑寄生。平。秦皮。大肠。清热,明目,清肝,平喘,止咳桑寄生肝,肾补肝,祛风,安胎,强筋。	0	0	0
地锦草、鹿角胶。地锦草。辛。鹿角胶。咸,甘。地锦草。平。鹿角胶。温。地锦草。肝,膀胱,胃,大肠,肺。清热,活血,退黄,解毒,止血鹿角胶肝,肾止血,益精,益精血,安胎。	0	0	0
骨碎补、天花粉。骨碎补。苦。天花粉。微苦,甘。骨碎补。温。天花粉。微寒。骨碎补。肾,肝。补肾,活血,止痛天花粉肺,胃清热,化痰,生津,润肺,消肿。	0	0	0
陈皮、贝母。陈皮：辛、苦、温。贝母：苦、寒。 。陈皮：归脾、肺经。贝母：归肺经。 陈皮：燥湿化痰，理气健脾。贝母：润肺散结，止嗽化痰。 。	0	1	-1
石膏、人参。石膏：辛、甘、大寒。人参：甘微苦、温。 。石膏：归肺、胃经。人参：归脾、肺经。 石膏：生用解肌清热，除烦止咳。人参：大补元气，固脱生津，安神。 。	0	1	-1
珍珠母、熟地黄。珍珠母。甘,咸。熟地黄。甘。珍珠母。寒。熟地黄。温。珍珠母。心,肝。明目,清肝,平肝,安神,潜阳,定惊熟地黄肝,肾补血,填髓,益精。	0	0	0
白鲜皮、补骨脂。白鲜皮。咸,苦。补骨脂。辛,苦。白鲜皮。寒。补骨脂。温。白鲜皮。脾,小肠,膀胱,胃,肺。祛风,清热,止痒,解毒补骨脂脾,心包,肾,胃,肺助阳,温脾,止泻,补肾,平喘,纳气。	0	0	0
